match_id,inning,batting_team,bowling_team,over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1216492,1,MI,CSK,1,1,RG Sharma,Q de Kock,DL Chahar,0,0,0,0,0,0,4,0,4,,,
1216492,1,MI,CSK,1,2,RG Sharma,Q de Kock,DL Chahar,0,0,0,0,0,0,1,0,1,,,
1216492,1,MI,CSK,1,3,Q de Kock,RG Sharma,DL Chahar,0,0,0,0,0,0,2,0,2,,,
1216492,1,MI,CSK,1,4,Q de Kock,RG Sharma,DL Chahar,0,0,0,0,0,0,4,0,4,,,
1216492,1,MI,CSK,1,5,Q de Kock,RG Sharma,DL Chahar,0,0,0,0,0,0,0,0,0,,,
1216492,1,MI,CSK,1,6,Q de Kock,RG Sharma,DL Chahar,0,0,0,0,0,0,1,0,1,,,
1216492,1,MI,CSK,2,1,Q de Kock,RG Sharma,S Curran,0,0,0,0,0,0,0,0,0,,,
1216492,1,MI,CSK,2,2,Q de Kock,RG Sharma,S Curran,0,0,0,0,0,0,0,0,0,,,
1216492,1,MI,CSK,2,3,Q de Kock,RG Sharma,S Curran,0,0,0,0,0,0,1,0,1,,,
1216492,1,MI,CSK,2,4,RG Sharma,Q de Kock,S Curran,0,0,0,0,0,0,4,0,4,,,
1216492,1,MI,CSK,2,5,RG Sharma,Q de Kock,S Curran,0,0,0,0,0,0,1,0,1,,,
1216492,1,MI,CSK,2,6,Q de Kock,RG Sharma,S Curran,0,0,0,0,0,0,1,0,1,,,
1216492,1,MI,CSK,3,1,Q de Kock,RG Sharma,DL Chahar,0,0,0,0,0,0,1,0,1,,,
1216492,1,MI,CSK,3,2,RG Sharma,Q de Kock,DL Chahar,0,0,0,0,0,0,0,0,0,,,
1216492,1,MI,CSK,3,3,RG Sharma,Q de Kock,DL Chahar,0,0,0,0,0,0,0,0,0,,,
1216492,1,MI,CSK,3,4,RG Sharma,Q de Kock,DL Chahar,0,0,0,0,0,0,1,0,1,,,
